query_id,query,eid,title,doi,publication_name,cover_date,subtype_description,citedby_count,openaccess,authors,affiliations,scopus_link
Q1_hems_der_tariffs,"TITLE-ABS-KEY((""home energy management"" OR HEMS OR ""residential energy management"") AND (PV OR photovoltaic) AND (battery OR BESS) AND (EV OR ""electric vehicle"") AND (""dynamic tariff"" OR ""time-of-use"" OR ""real-time pricing"")) AND PUBYEAR > 2018 AND LANGUAGE(english) AND (DOCTYPE(ar))",2-s2.0-105029662081,"A new approach for HEMS to optimize cost, emissions and comfort through a smart integration of V2G, load scheduling, and PVT generation",10.1016/j.enbuild.2026.117094,Energy and Buildings,2026-04-01,Article,0,0,Fiorotti R.; Fardin J.F.; Rocha H.R.O.; Rueda-Medina A.C.; Pantaleo A.M.; Nasab M.R.; Bruno S.,Università degli studi di Bari Aldo Moro; Universidade Federal do Espírito Santo; Politecnico di Bari; Instituto Federal do Espírito Santo,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105029662081&origin=inward
Q1_hems_der_tariffs,"TITLE-ABS-KEY((""home energy management"" OR HEMS OR ""residential energy management"") AND (PV OR photovoltaic) AND (battery OR BESS) AND (EV OR ""electric vehicle"") AND (""dynamic tariff"" OR ""time-of-use"" OR ""real-time pricing"")) AND PUBYEAR > 2018 AND LANGUAGE(english) AND (DOCTYPE(ar))",2-s2.0-105027952821,Are electric vehicles a viable alternative to home batteries? An Australian case study,10.1016/j.est.2026.120721,Journal of Energy Storage,2026-03-30,Article,0,1,Geach C.R.; Aldaadi M.; Verbič G.,The University of Sydney; Islamic University of Madinah,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105027952821&origin=inward
Q1_hems_der_tariffs,"TITLE-ABS-KEY((""home energy management"" OR HEMS OR ""residential energy management"") AND (PV OR photovoltaic) AND (battery OR BESS) AND (EV OR ""electric vehicle"") AND (""dynamic tariff"" OR ""time-of-use"" OR ""real-time pricing"")) AND PUBYEAR > 2018 AND LANGUAGE(english) AND (DOCTYPE(ar))",2-s2.0-105027637816,Digital twin-driven Proximal Policy Optimization for smart community energy management and peer-to-peer trading in the Smart Grid 4.0 framework,10.1016/j.engappai.2025.113345,Engineering Applications of Artificial Intelligence,2026-03-01,Article,1,1,Rehman U.u.,Instituto Politécnico do Porto,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105027637816&origin=inward
Q1_hems_der_tariffs,"TITLE-ABS-KEY((""home energy management"" OR HEMS OR ""residential energy management"") AND (PV OR photovoltaic) AND (battery OR BESS) AND (EV OR ""electric vehicle"") AND (""dynamic tariff"" OR ""time-of-use"" OR ""real-time pricing"")) AND PUBYEAR > 2018 AND LANGUAGE(english) AND (DOCTYPE(ar))",2-s2.0-105026655593,P2P modeling formation coalitions and prosumers participation based on dynamic pricing algorithm and line congestion consideration,10.1016/j.segan.2025.102099,Sustainable Energy Grids and Networks,2026-03-01,Article,0,0,Ji Z.; Sun W.; Yan B.; Sun B.H.,"State Grid Jibei Electric Power Co., Ltd",https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105026655593&origin=inward
Q1_hems_der_tariffs,"TITLE-ABS-KEY((""home energy management"" OR HEMS OR ""residential energy management"") AND (PV OR photovoltaic) AND (battery OR BESS) AND (EV OR ""electric vehicle"") AND (""dynamic tariff"" OR ""time-of-use"" OR ""real-time pricing"")) AND PUBYEAR > 2018 AND LANGUAGE(english) AND (DOCTYPE(ar))",2-s2.0-85213888373,"A robust optimization framework for smart home energy management: Integrating photovoltaic storage, electric vehicle charging, and demand response",10.1016/j.est.2024.115259,Journal of Energy Storage,2025-02-28,Article,51,0,Karimianfard H.,"Islamic Azad University, Jahrom Branch",https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85213888373&origin=inward
Q1_hems_der_tariffs,"TITLE-ABS-KEY((""home energy management"" OR HEMS OR ""residential energy management"") AND (PV OR photovoltaic) AND (battery OR BESS) AND (EV OR ""electric vehicle"") AND (""dynamic tariff"" OR ""time-of-use"" OR ""real-time pricing"")) AND PUBYEAR > 2018 AND LANGUAGE(english) AND (DOCTYPE(ar))",2-s2.0-85189652386,Smart home energy management using demand response with uncertainty analysis of electric vehicle in the presence of renewable energy sources,10.1016/j.apenergy.2024.123062,Applied Energy,2024-06-15,Article,57,0,Kanakadhurga D.; Prabaharan N.,SASTRA Deemed University,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85189652386&origin=inward
Q1_hems_der_tariffs,"TITLE-ABS-KEY((""home energy management"" OR HEMS OR ""residential energy management"") AND (PV OR photovoltaic) AND (battery OR BESS) AND (EV OR ""electric vehicle"") AND (""dynamic tariff"" OR ""time-of-use"" OR ""real-time pricing"")) AND PUBYEAR > 2018 AND LANGUAGE(english) AND (DOCTYPE(ar))",2-s2.0-85179497986,Vehicle-to-home operation and multi-location charging of electric vehicles for energy cost optimisation of households with photovoltaic system and battery energy storage,10.1016/j.renene.2023.119729,Renewable Energy,2024-02-01,Article,44,1,Wu Y.; Aziz S.M.; Haque M.H.,University of South Australia,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85179497986&origin=inward
Q1_hems_der_tariffs,"TITLE-ABS-KEY((""home energy management"" OR HEMS OR ""residential energy management"") AND (PV OR photovoltaic) AND (battery OR BESS) AND (EV OR ""electric vehicle"") AND (""dynamic tariff"" OR ""time-of-use"" OR ""real-time pricing"")) AND PUBYEAR > 2018 AND LANGUAGE(english) AND (DOCTYPE(ar))",2-s2.0-85181881278,Energy Management Scheme for Optimizing Multiple Smart Homes Equipped with Electric Vehicles,10.3390/en17010254,Energies,2024-01-01,Article,16,1,Prum P.; Charoen P.; Khan M.A.; Bayati N.; Charoenlarpnopparut C.,"Sirindhorn International Institute of Technology Thammasat University; University of Southern Denmark, Sønderborg",https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85181881278&origin=inward
Q1_hems_der_tariffs,"TITLE-ABS-KEY((""home energy management"" OR HEMS OR ""residential energy management"") AND (PV OR photovoltaic) AND (battery OR BESS) AND (EV OR ""electric vehicle"") AND (""dynamic tariff"" OR ""time-of-use"" OR ""real-time pricing"")) AND PUBYEAR > 2018 AND LANGUAGE(english) AND (DOCTYPE(ar))",2-s2.0-85149767992,Optimal home energy management including batteries and heterogenous uncertainties,10.1016/j.est.2023.106646,Journal of Energy Storage,2023-04-01,Article,22,0,Tostado-Véliz M.; Hasanien H.M.; Turky R.A.; Assolami Y.O.; Vera D.; Jurado F.,"Universidad de Jaén; Taibah University; Faculty of Engineering, Ain Shams University; Faculty of Engineering & Technology",https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85149767992&origin=inward
Q1_hems_der_tariffs,"TITLE-ABS-KEY((""home energy management"" OR HEMS OR ""residential energy management"") AND (PV OR photovoltaic) AND (battery OR BESS) AND (EV OR ""electric vehicle"") AND (""dynamic tariff"" OR ""time-of-use"" OR ""real-time pricing"")) AND PUBYEAR > 2018 AND LANGUAGE(english) AND (DOCTYPE(ar))",2-s2.0-85149795742,Real-Time Multi-Home Energy Management with EV Charging Scheduling Using Multi-Agent Deep Reinforcement Learning Optimization,10.3390/en16052357,Energies,2023-03-01,Article,45,1,Kaewdornhan N.; Srithapon C.; Liemthong R.; Chatthaworn R.,The Royal Institute of Technology (KTH); Khon Kaen University; Sermsang Power Corporation Public Company Limited,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85149795742&origin=inward
Q1_hems_der_tariffs,"TITLE-ABS-KEY((""home energy management"" OR HEMS OR ""residential energy management"") AND (PV OR photovoltaic) AND (battery OR BESS) AND (EV OR ""electric vehicle"") AND (""dynamic tariff"" OR ""time-of-use"" OR ""real-time pricing"")) AND PUBYEAR > 2018 AND LANGUAGE(english) AND (DOCTYPE(ar))",2-s2.0-85141958980,The impact of energy-efficiency upgrades and other distributed energy resources on a residential neighborhood-scale electrification retrofit,10.1016/j.apenergy.2022.120256,Applied Energy,2023-01-01,Article,20,2,Earle L.; Maguire J.; Munankarmi P.; Roberts D.,National Laboratory of the Rockies,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85141958980&origin=inward
Q1_hems_der_tariffs,"TITLE-ABS-KEY((""home energy management"" OR HEMS OR ""residential energy management"") AND (PV OR photovoltaic) AND (battery OR BESS) AND (EV OR ""electric vehicle"") AND (""dynamic tariff"" OR ""time-of-use"" OR ""real-time pricing"")) AND PUBYEAR > 2018 AND LANGUAGE(english) AND (DOCTYPE(ar))",2-s2.0-85115296665,Optimal planning of solar photovoltaic and battery storage for electric vehicle owner households with time-of-use tariff,10.1049/gtd2.12300,Iet Generation Transmission and Distribution,2022-02-01,Article,28,1,Merrington S.; Khezri R.; Mahmoudi A.,College of Science and Engineering,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85115296665&origin=inward
Q1_hems_der_tariffs,"TITLE-ABS-KEY((""home energy management"" OR HEMS OR ""residential energy management"") AND (PV OR photovoltaic) AND (battery OR BESS) AND (EV OR ""electric vehicle"") AND (""dynamic tariff"" OR ""time-of-use"" OR ""real-time pricing"")) AND PUBYEAR > 2018 AND LANGUAGE(english) AND (DOCTYPE(ar))",2-s2.0-85121570026,Integration of electric vehicles and energy storage system in home energy management system with home to grid capability,10.3390/en14248557,Energies,2021-12-01,Article,55,1,Mohammad A.; Zuhaib M.; Ashraf I.; Alsultan M.; Ahmad S.; Sarwar A.; Abdollahian M.,King Saud University; RMIT University; Zakir Husain College of Engineering and Technology,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85121570026&origin=inward
Q1_hems_der_tariffs,"TITLE-ABS-KEY((""home energy management"" OR HEMS OR ""residential energy management"") AND (PV OR photovoltaic) AND (battery OR BESS) AND (EV OR ""electric vehicle"") AND (""dynamic tariff"" OR ""time-of-use"" OR ""real-time pricing"")) AND PUBYEAR > 2018 AND LANGUAGE(english) AND (DOCTYPE(ar))",2-s2.0-85097778714,A home energy management system with an integrated smart thermostat for demand response in smart grids,10.1016/j.scs.2020.102639,Sustainable Cities and Society,2021-02-01,Article,171,0,Duman A.C.; Erden H.S.; Gönül Ö.; Güler Ö.,İstanbul Teknik Üniversitesi; Turkish-German University,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85097778714&origin=inward
Q1_hems_der_tariffs,"TITLE-ABS-KEY((""home energy management"" OR HEMS OR ""residential energy management"") AND (PV OR photovoltaic) AND (battery OR BESS) AND (EV OR ""electric vehicle"") AND (""dynamic tariff"" OR ""time-of-use"" OR ""real-time pricing"")) AND PUBYEAR > 2018 AND LANGUAGE(english) AND (DOCTYPE(ar))",2-s2.0-85098802294,Two-stage energy management strategy of EV and PV integrated smart home to minimize electricity cost and flatten power load profile,10.3390/en13236387,Energies,2020-12-03,Article,53,1,Abdalla M.A.A.; Min W.; Mohammed O.A.A.,Nanjing University of Science and Technology; Hohai University; Nyala University,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85098802294&origin=inward
Q1_hems_der_tariffs,"TITLE-ABS-KEY((""home energy management"" OR HEMS OR ""residential energy management"") AND (PV OR photovoltaic) AND (battery OR BESS) AND (EV OR ""electric vehicle"") AND (""dynamic tariff"" OR ""time-of-use"" OR ""real-time pricing"")) AND PUBYEAR > 2018 AND LANGUAGE(english) AND (DOCTYPE(ar))",2-s2.0-85086387391,Multi-objective optimization of home appliances and electric vehicle considering customer's benefits and offsite shared photovoltaic curtailment,10.3390/en13112852,Energies,2020-06-01,Article,20,1,Kwon Y.; Kim T.; Baek K.; Kim J.,Gwangju Institute of Science and Technology,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85086387391&origin=inward
Q1_hems_der_tariffs,"TITLE-ABS-KEY((""home energy management"" OR HEMS OR ""residential energy management"") AND (PV OR photovoltaic) AND (battery OR BESS) AND (EV OR ""electric vehicle"") AND (""dynamic tariff"" OR ""time-of-use"" OR ""real-time pricing"")) AND PUBYEAR > 2018 AND LANGUAGE(english) AND (DOCTYPE(ar))",2-s2.0-85058353310,"Operation Scheduling of Household Load, EV and BESS Using Real Time Pricing, Incentive Based DR and Peak Power Limiting Strategy",10.1515/ijeeps-2018-0186,International Journal of Emerging Electric Power Systems,2019-01-01,Article,12,0,Kakran S.; Chanana S.,National Institute of Technology Kurukshetra,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85058353310&origin=inward
