query_id,query,eid,title,doi,publication_name,cover_date,subtype_description,citedby_count,openaccess,authors,affiliations,scopus_link
Q2_milp_mpc_online,"TITLE-ABS-KEY((HEMS OR ""residential energy management"") AND (MILP OR ""mixed-integer linear programming"" OR MPC OR ""model predictive control"") AND (""real-time"" OR online)) AND PUBYEAR > 2018 AND LANGUAGE(english) AND (DOCTYPE(ar))",2-s2.0-105034986590,Hierarchical learning platform for optimal EV charging scheduling in PV-driven residential buildings,10.1016/j.enbuild.2026.117191,Energy and Buildings,2026-04-15,Article,0,1,Selicati V.; Jahanbin A.; Berardi U.,Politecnico di Bari,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105034986590&origin=inward
Q2_milp_mpc_online,"TITLE-ABS-KEY((HEMS OR ""residential energy management"") AND (MILP OR ""mixed-integer linear programming"" OR MPC OR ""model predictive control"") AND (""real-time"" OR online)) AND PUBYEAR > 2018 AND LANGUAGE(english) AND (DOCTYPE(ar))",2-s2.0-105024859196,A mixed-integer linear programming approach for optimising residential energy management with multiple sustainable energy resources,10.1016/j.enconman.2025.120932,Energy Conversion and Management,2026-02-01,Article,1,1,Pinto P.M.E.; Osório G.J.; Javadi M.S.; Catalão J.P.S.,Universidade do Porto; Universidade da Beira Interior,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105024859196&origin=inward
Q2_milp_mpc_online,"TITLE-ABS-KEY((HEMS OR ""residential energy management"") AND (MILP OR ""mixed-integer linear programming"" OR MPC OR ""model predictive control"") AND (""real-time"" OR online)) AND PUBYEAR > 2018 AND LANGUAGE(english) AND (DOCTYPE(ar))",2-s2.0-105033962823,Integration of Day-Ahead HEMS Planning with MPC for Real-Time Operation of Smart Homes with PV and V2G,10.1109/TIA.2026.3676960,IEEE Transactions on Industry Applications,2026-01-01,Article,0,0,Fiorotti R.; Fardin J.F.; Rocha H.R.O.; Rueda-Medina A.C.; Coutinho C.R.; Zanotelli T.; Bruno S.,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105033962823&origin=inward
Q2_milp_mpc_online,"TITLE-ABS-KEY((HEMS OR ""residential energy management"") AND (MILP OR ""mixed-integer linear programming"" OR MPC OR ""model predictive control"") AND (""real-time"" OR online)) AND PUBYEAR > 2018 AND LANGUAGE(english) AND (DOCTYPE(ar))",2-s2.0-105023205977,Adaptive energy management in smart homes through fuzzy reinforcement learning and metaheuristic optimization algorithms to minimize costs,10.1038/s41598-025-26377-3,Scientific Reports,2025-12-01,Article,0,1,Hamedani M.M.K.; Jahangiri A.; Mehri R.; Shamim A.G.,"Islamic Azad University, Hamedan Branch",https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105023205977&origin=inward
Q2_milp_mpc_online,"TITLE-ABS-KEY((HEMS OR ""residential energy management"") AND (MILP OR ""mixed-integer linear programming"" OR MPC OR ""model predictive control"") AND (""real-time"" OR online)) AND PUBYEAR > 2018 AND LANGUAGE(english) AND (DOCTYPE(ar))",2-s2.0-85215258087,Deep reinforcement learning-based plug-in electric vehicle charging/discharging scheduling in a home energy management system,10.1016/j.energy.2025.134420,Energy,2025-02-01,Article,34,0,Mansour S.H.; Azzam S.M.; Hasanien H.M.; Tostado-Véliz M.; Alkuhayli A.; Jurado F.,"King Saud University; Universidad de Jaén; Faculty of Engineering, Ain Shams University; Faculty of Engineering & Technology; Faculty of Information Engineering and Technology",https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85215258087&origin=inward
Q2_milp_mpc_online,"TITLE-ABS-KEY((HEMS OR ""residential energy management"") AND (MILP OR ""mixed-integer linear programming"" OR MPC OR ""model predictive control"") AND (""real-time"" OR online)) AND PUBYEAR > 2018 AND LANGUAGE(english) AND (DOCTYPE(ar))",2-s2.0-105007288902,Cloud-Based Real-Time Model Predictive Control for a Multi-Carrier and Multi-Objective Home Energy Management System,10.1109/TIA.2025.3576745,IEEE Transactions on Industry Applications,2025-01-01,Article,1,0,Kazemi M.; Papadimitriou C.N.; Paterakis N.G.; Kok K.,Technische Universiteit Eindhoven,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105007288902&origin=inward
Q2_milp_mpc_online,"TITLE-ABS-KEY((HEMS OR ""residential energy management"") AND (MILP OR ""mixed-integer linear programming"" OR MPC OR ""model predictive control"") AND (""real-time"" OR online)) AND PUBYEAR > 2018 AND LANGUAGE(english) AND (DOCTYPE(ar))",2-s2.0-85181881278,Energy Management Scheme for Optimizing Multiple Smart Homes Equipped with Electric Vehicles,10.3390/en17010254,Energies,2024-01-01,Article,16,1,Prum P.; Charoen P.; Khan M.A.; Bayati N.; Charoenlarpnopparut C.,"Sirindhorn International Institute of Technology Thammasat University; University of Southern Denmark, Sønderborg",https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85181881278&origin=inward
Q2_milp_mpc_online,"TITLE-ABS-KEY((HEMS OR ""residential energy management"") AND (MILP OR ""mixed-integer linear programming"" OR MPC OR ""model predictive control"") AND (""real-time"" OR online)) AND PUBYEAR > 2018 AND LANGUAGE(english) AND (DOCTYPE(ar))",2-s2.0-85148865791,Optimized Cost of Energy by a Home Energy Management System Employing Dynamic Power Import Limit Strategy: A Case study Approach,10.22098/joape.2022.10254.1728,Journal of Operation and Automation in Power Engineering,2023-12-01,Article,9,0,Juyal V.D.; Kakran S.,National Institute of Technology Kurukshetra,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85148865791&origin=inward
Q2_milp_mpc_online,"TITLE-ABS-KEY((HEMS OR ""residential energy management"") AND (MILP OR ""mixed-integer linear programming"" OR MPC OR ""model predictive control"") AND (""real-time"" OR online)) AND PUBYEAR > 2018 AND LANGUAGE(english) AND (DOCTYPE(ar))",2-s2.0-85164285971,Real-time energy scheduling for home energy management systems with an energy storage system and electric vehicle based on a supervised-learning-based strategy,10.1016/j.enconman.2023.117340,Energy Conversion and Management,2023-09-15,Article,95,1,Huy T.H.B.; Truong Dinh H.; Ngoc Vo D.; Kim D.,Viet Nam National University Ho Chi Minh City; Soonchunhyang University; Ho Chi Minh City University of Technology - HCMUT; Vietnamese-German University,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85164285971&origin=inward
Q2_milp_mpc_online,"TITLE-ABS-KEY((HEMS OR ""residential energy management"") AND (MILP OR ""mixed-integer linear programming"" OR MPC OR ""model predictive control"") AND (""real-time"" OR online)) AND PUBYEAR > 2018 AND LANGUAGE(english) AND (DOCTYPE(ar))",2-s2.0-85132238913,Supervised-learning-based hour-ahead demand response for a behavior-based home energy management system approximating MILP optimization,10.1016/j.apenergy.2022.119382,Applied Energy,2022-09-01,Article,42,1,Dinh H.T.; Lee K.h.; Kim D.,Dankook University; Soonchunhyang University,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85132238913&origin=inward
