episode,train_reward,best_eval_reward,phase,evals_since_best,anchor_candidate_count,anchor_updates,n_critic_updates,n_actor_updates,critic_loss,critic_main_loss,actor_loss,alpha_loss,q1_mean,q2_mean,q_return_corr,backup_mean,q_pi_mean,q_pi_std_mean,logp_mean,violation_mean,proj_delta_mean,kl,kl_from_best,kl_beta,alpha,lambda_value,actor_lr,critic_lr,eval_mean_reward,eval_worst_reward,eval_robust_reward,eval_energy_cost_mean,eval_bess_cost_mean,eval_ev_cost_mean,eval_pv_cost_mean,eval_grid_penalty_mean,eval_bess_abs_power_mean,eval_ev_abs_power_mean,eval_pv_cmd_mean
0,-152.00820015128465,-79.550619281134,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,-79.550619281134,-131.44049358161283,-130.01381788886465,0.01404158506052835,0.0005710226578241243,0.024200684237527404,2.68452088149529e-05,0.0006194954806199561,0.274090868057486,0.4135514091174612,0.010265884421345715
1,-95.88393717627332,-79.550619281134,1,2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,-79.550619281134,-131.44049358161283,-130.01381788886465,0.01404158506052835,0.0005710226578241243,0.024200684237527404,2.68452088149529e-05,0.0006194954806199561,0.274090868057486,0.4135514091174612,0.010265884421345715
2,-111.21438360409775,-79.550619281134,1,3,0,0,0,0,,,,,,,,,,,,,,,,,,,,,-79.550619281134,-131.44049358161283,-130.01381788886465,0.01404158506052835,0.0005710226578241243,0.024200684237527404,2.68452088149529e-05,0.0006194954806199561,0.274090868057486,0.4135514091174612,0.010265884421345715
3,-214.6619756136315,-79.550619281134,1,4,0,0,0,0,,,,,,,,,,,,,,,,,,,,,-79.550619281134,-131.44049358161283,-130.01381788886465,0.01404158506052835,0.0005710226578241243,0.024200684237527404,2.68452088149529e-05,0.0006194954806199561,0.274090868057486,0.4135514091174612,0.010265884421345715
4,-127.47652479637327,-79.550619281134,1,5,0,0,0,0,,,,,,,,,,,,,,,,,,,,,-79.550619281134,-131.44049358161283,-130.01381788886465,0.01404158506052835,0.0005710226578241243,0.024200684237527404,2.68452088149529e-05,0.0006194954806199561,0.274090868057486,0.4135514091174612,0.010265884421345715
5,-134.64768067291152,-79.550619281134,1,6,0,0,252,0,0.1967252441460178,0.1967252441460178,,,-0.8306232956903321,-0.833655950450708,0.5403055529154482,-0.8449766456134735,,,,,,,,,,,,,-79.550619281134,-131.44049358161283,-130.01381788886465,0.01404158506052835,0.0005710226578241243,0.024200684237527404,2.68452088149529e-05,0.0006194954806199561,0.274090868057486,0.4135514091174612,0.010265884421345715
6,-107.66816343932442,-79.550619281134,1,7,0,0,252,0,0.17967613875156357,0.17967613875156357,,,-1.3462873853388286,-1.3466360474389696,0.5929245447355603,-1.3445965283446841,,,,,,,,,,,,,-79.550619281134,-131.44049358161283,-130.01381788886465,0.01404158506052835,0.0005710226578241243,0.024200684237527404,2.68452088149529e-05,0.0006194954806199561,0.274090868057486,0.4135514091174612,0.010265884421345715
7,-113.63535243238584,-79.550619281134,1,8,0,0,252,0,0.19486332613797414,0.19486332613797414,,,-1.8158728352614812,-1.8164543821698143,0.5402390369110637,-1.8099816072554815,,,,,,,,,,,,,-79.550619281134,-131.44049358161283,-130.01381788886465,0.01404158506052835,0.0005710226578241243,0.024200684237527404,2.68452088149529e-05,0.0006194954806199561,0.274090868057486,0.4135514091174612,0.010265884421345715
8,-122.3479794249979,-79.550619281134,1,9,0,0,252,0,0.209242582321167,0.209242582321167,,,-2.2766789803429255,-2.2777520418167114,0.4723200796852036,-2.2686099268141247,,,,,,,,,,,,,-79.550619281134,-131.44049358161283,-130.01381788886465,0.01404158506052835,0.0005710226578241243,0.024200684237527404,2.68452088149529e-05,0.0006194954806199561,0.274090868057486,0.4135514091174612,0.010265884421345715
9,-108.72938766655534,-79.550619281134,1,10,0,0,252,0,0.2257475085438244,0.2257475085438244,,,-2.723089413983481,-2.7244355470415145,0.4190404833782287,-2.7114695215982105,,,,,,,,,,,,,-79.550619281134,-131.44049358161283,-130.01381788886465,0.01404158506052835,0.0005710226578241243,0.024200684237527404,2.68452088149529e-05,0.0006194954806199561,0.274090868057486,0.4135514091174612,0.010265884421345715
